the universe with all its order and harmony indicate a wise creator . all this creation cannot come to existence accidentally or spontaneously . and how did the wise creator come into existence ? all that wisdom and creativity cannot come to existence accidentally or spontaneously . <repeated>	0
explain what you mean by the laws of physics . <happy> the laws of physics are short , descriptive statements that describe the operation of certain natural phenomena that always seem to occur in the same way . many times the " laws of physics " have been amended by further information , causing the law to be restated . actually , i think he meant the way that we have observed the universe and all of nature to operate .	0
the only reason that it will be a mac is because of the information that is still inside of the computer that should be removed if you want to take the whole brain . you have to remember that the human mind is not just a hard drive . it is also the processor ( brain ) as well as the motherboard ( connector of inputs and outputs ) and the ram ( short term memory ) . there is nothing else in the human body that can better fit the role of any of these four components . this is also the core of what determines if a computer is a mac or a pc . if you take all these pieces from your pc and put them in a mac then you have a pc . this is the case since you will be able to run pc - only applications and not mac - only applications . well , the actual personality of the computer is in the hard drive . ram really is not anything but a notebook , and the motherboard is more of a nervous system . so the processor and hardrive is the mind - the processor being the modivator , and the hard drive being the memory . if i were to take the intel p3 out and place an athlon <tong> 3000 + in it ' s place , would the computer be a different computer ? no . it would be the same computer .	0
homosexuals are attracted to adults of the same sex . pedophiles are attracted exclusively to children . there are people , such as the case with these priests , who molest children , who are not pedophiles . molestation , like rape , is not about sexual attraction . it is <allcaps> violence </allcaps> . people do not molest or rape because they are so turned on they can not help themselves , they do it to <allcaps> hurt </allcaps> somebody . get some information before shooting off at the mouth <allcaps> vor </allcaps> . most of those priests were probably niether gay nor pedophiles . <allcaps> i hate it </allcaps> - when people spread this * * * * . it is <allcaps> false </allcaps> information that does nothing but <allcaps> harm </allcaps> . it puts blame on the innocent while the guilty get ignored and children get hurt . do not use this lie to justify your bigotry - for you do so at the cost of innocent people - adults and children . when you have no constructive comment just attacks the messenger with your insultsand name calling . <repeated> typical . <repeated> so very sad . <repeated> its radicals like you that hurt the cause of gay rights . <repeated>	0
i just say we make a law against abortion , and stop the genocide against the unborn . why end a human life on the basis size , development , and environment ? and i just say that it would be unjust and unfair of you to force metaphysical belief systems of your own which constitute religious belief upon your follows who may believe otherwise than you . get pregnant and treat your fetus as a full person if you wish , nobody will force you to abort it . let others follow their own beliefs differing or the same . otherwise you attempt to obtain justice by doing injustice . mo	0
but just try and remove them from those that think we do and you will have a war on your hands . it ' s too bad we did not become more like canada is respect to gun ownership . a lot more people would be alive today and others not sitting in prison for crimes they commited . and the loss to society because people used guns instead of an alternate weapon is ?	0
i voted no , cars are for transportation only , only because it was the only " no " option . money ' s for rich people . what ' s the matter ? can not anybody in kc afford to have 2 cars ? emoticonxwow	1
once a person ' s dead they are dead . it ' s nice , but if you can not afford it , why bankroll a cremation or burial ? with growing numbers of bodies and the associated public health risks around disease , this is one more example of how the state will increasingly find themselves in a bind over health care for all . um , of course , it was too much to expect murderers to shell out for burying their victims . i keep forgetting i am in dick cheney ' s america .	1
in principle , given adequate evidence etc . , there is nothing in the material world that cannot be explained by science . are you saying that given enough time you can come with answers ? that ' s a statement of faith .	0
ask yourselves this : if you found out easyrider , zorba , and gonzo were advising several major presidential candidates . <repeated> and were being taken very seriously by them . <repeated> would not you be just a tiny bit alarmed ? <repeated> unfortunately the reality is not far off . only worse . considering what you turkeys did to the state of california , with its budget and social depravity , you have no room to talk . i am surprised the lord has not cast san francisco and l.a. into the pacific ocean yet .	1
obama respects healthcare rights . i would be dead without healthcare . . i am trying to become a going in to college for pre - med and i am shocked at the big decline in competion for such courses . not only has obamas healhcare programs overestimated the capability of our current amount of healthcare providers , but it is also deterring many from seeking such careers . by trying to help everyone in the short term , he is doing more damage to everyone in the long term .	0
