actually there are already a couple floating around . one fascinating one : gaia theory and the daisyworld model . it ' s all around self - organising systems and the earth as a self - regulating system / organsism / something or other . james lovelock and co . interesting to read but sometimes feels a little too ' lets - all - just - get - along ' to be real , hard - core theory . either way , it ' s probably a lot more likely to be accepted than creationism , should evolutionism for some reason be disproved .	0
i think that case was in georgia ( a different state ) and so far as i know homosexuality was not involved . however if you want to worry about a legal case you need to look at dover pa . not the sticker case in cobb county .	0
certainly science has provided part of the answer with their finding of the mitachondrial " eve " , suggesting that one person can have all the <allcaps> dna </allcaps> necessary for all the variation in human populations . one of the standard rebuttals you hear is " how did the kangaroos get to australia " ? i do not know if that ' s covered in the bible . <repeated> if god transported them or not .	0
" i believe the hunter who handed the rifle to the actor and the tv crew lacked an awareness of the firearm ' s potential danger , " another police official said . how is anyone to learn any potential of a firearm if it is to be locked away and not seen ? besides that little piece about lacking awareness i do not really buy it . a gun death is a gun death , whoever pulls the trigger ? serious question , penfold , and i will even dispense with the <allcaps> comrade </allcaps> , are you a plant just to get people going ? or did you actually have someone close to you hurt or killed by a firearm ? and if so i apologize . '	1
oh boy , you said it ! is the earth ' s magnetic field young ?	0
oh really ? gun ownership allowed these " lunatics " as you call them , to become government dictators ? if i owned 50 guns and 10,000 rounds of ammunition , you are saying i could run the government with an iron fist all by myself , just like that ? any random person can just appoint themselves god over the entire nation , without a single ounce of resistance just because they are armed ?	1
actually , one can argue that it was a pagan institution long before it was a religious one .	0
quick question - what particular qualification of dr . olson ' s makes his opinion on the subject superior to all others ? given your fondness for posting this essay of his ( in his entirety ) as your ultimate justification , that should be an easy one for you . waxy	1
certainly it does .	0
monty babbles : again monty has shown that he does not bother to learn what he is talking about before he speaks . it is not true that science has " found " the mitochondrial eve , nor is it true that it shows that one person can have all the <allcaps> dna </allcaps> necessary for all the variation in human population . both ideas are ridiculous in the extreme . the mitochondrial ( note spelling monty ) eve is a mathematical concept . if the estimates of the mutation rate of mitochondrial <allcaps> dna </allcaps> are correct , then she lived about 200,000 years ago or so . and of course , the variation in human populations is carried by the nuclear <allcaps> dna </allcaps> , not the mitochondria . high school biology students know this . and , of course , recent analysis has shown that every gene in the human genome has an average of 14 alleles . since a single person can carry only two alleles of any gene , monty ' s assertion becomes pure nonsense . hank says : really ? when and by whom ? i wasn ' t even aware that it was an hypothesis but simply a mathematical concept derived from the mutation rate of the mitochondrial <allcaps> dna </allcaps> . possibly the time has been adjusted due to differing estimates of the mutatiion rate , but the concept is valid . here is some information . monty , i would recommend that you read the books suggested so that you might gain some understanding of what you are discussing . you continue to make yourself look foolish . river out of eden is a good , basic introduction to the main concepts of evolutionary biology . for information on mitochondrial eve see what , if anything , is a mitochondrial eve ?	0
yeah , i should , then we could have a more intelligent converstation you understand that in the plaxico burris case , the " authorities " did just exactly that , found ammo of a different caliber and assumed he had those guns too . article today on that at <allcaps> rkba </allcaps> . of course , you would probably be more interested in this : texas jury jails man 35 years for marijuana possession | raw story at first i thought maybe you had come to see old doc and got waylaid on the way . nice to see you posting whatever !	1
so you yourself could have gone gay but chose to be attracted to women ?	1
i will have to apologize here , soc . i confused you with another poster who also used christ in his handle . you did not run from the topic because you were not the op of that thread . sorry about that . if you ' d still like to approach that thread , i will respond and provide the link , but all readers should be clear that my accusation that soc scampered away was mistaken , and any willingness to address the arguments would be solely to soc ' s credit .	0
you ask others for their opinion , and then refuse to listen when it ' s offered . the truth is that you do not see the analogy as valid . we do . we see a situation where , like blacks before , people disapprove of a group of people and want to segregate one group from the other . sometimes , they refuse to offer any alternative . sometimes , they offer a separate alternative . that argument cuts both ways . the question comes up regarding what ' s <allcaps> your </allcaps> beef on the issue ? why are you so insistent on maintaining two separate groups ? is it because you want to reserve marriage as " prestigous " whereby gays are kept out ? under interracial marriage , no black person was prohibited from marrying either . should people have been satisfied with interracial couples being classified as " civil unions " ? today , we recognize that racism is wrong . yet some people still persist with homophobia . they fail to have a historical context on the real meaning of the methodology they recommend . frankly , that ' s like saying " you can not be jewish , but you can pick any sect of christianity you want to . you can not wear a star of david , but you can wear a cross . so that ' s equal <emphasis> " . <repeated> you are saying we can marry <allcaps> heterosexually </allcaps> , so <allcaps> homosexuals </allcaps> must pretend that ' s equal ? <repeated> makes no sense . <repeated> if i call somebody " male " , that restricts no rights from them . it does not require they go to a separate place to get their rights . and quite frankly , insisting on keeping one definition <allcaps> for a right </allcaps> ( at the exclusion of gays ) is " satisfying the ego " of the homophobic group . " attack on the definition of marriage " ? why is it an " attack " to include gay couples in as married ? would it be an " attack " on something for blacks to not have to be segregated from whites ?	1
the article cautions on blithely using natural selection as an explanation for the features of the genetic code . article 9 : in this article , the functional integrity and how the architecture of the code relates to it is discussed . from the article :	0
a lot of work has been done on that topic . i would recommend reading debating design from darwin to <allcaps> dna </allcaps> it is a monster of a book , but it is definitely worth the read .	0
just as being anti - gun will not compensate for being born with a small brain .	1
but they are implemented completely differently .	0
oh really ? parts of new orleans were under water for more than 40 days before all the water receeded . has not the plant life there replenished naturally in the wild ? of course it has . the earth is very able to repair itself in spite of modern mans sense of self importance . here ' s some interesting photographic evidence of it . <url>	0
so we agree . <repeated> what i want to know is why the vocal homosexual ' lobby ' insists on the term " marriage ? " emclean , the sanctity of marriage would not be the only thing about marriage to be ( harmed ? ) changed . the whole definition of marriage would change , too .	0
yes .	0
no archie i would not dare do anything sexual outside of the missionary position without a ring on my finger . <repeated> as far as superior or better umm no archie . as a governor of a state he has to be for all peoples not just the ones that fund his campaign . <repeated> unless of course the constitution is flawed and there ' s a tiny little clause excluding him from upholding all aspects of the document . and once again <allcaps> your </allcaps> god commanded archie not america ' s god or every person on this planet . do not you understand that there is a separation between church and state ? or did you throw that out the window too ? oh and the state of texas is making school children take a bible class . does not matter if the kids an atheist or agnostic or does not believe in it or was raised differently their still making them read it . way to go texas for overstepping the boundaries of church and state . <repeated> but no archie i am merely stating that this nut does not consider gays or lesbians equal peoples under the law where they need protection . does not matter that i can pull up thousands of incidents of hate crimes due to a persons sexual orientation , does not matter that gay and lesbian teens are harassed up to the point of suicide let alone god forbid their allowed to even have rights . point being is a public official elected to serve and protect all peoples under the law for the common good has stated just to do the opposite . <repeated>	0
read <allcaps> this </allcaps> slower :	1
banning abortion is a tool with which to punish women you deem promiscuous or immoral and recreate through a police state a mythical golden age of christian virtue , got you . the rest is just a cover story in the same way biblical creationists who want their religion brought into the school system advocate " intelligent design " . they call it " lying for baby jesus " .	0
you are looking at evolution in way too much of a magical and mystical way . evolution does not " know " anything . it does not have any desires . <repeated> and . <repeated> i lack the eloquence to briefly state mechanical ( and complete lack of desire ) aspects of evolution . i suggest you do research as to how there are no conscious thinking elements in evolution . science will never be able to disprove any god because of some flaw science happens to point out . the best individuals can do is , when people try to reason that such perfect organs imply a designer , point out that the design is not all that perfect after all . if you want to try and debate flaws in design are evidence against a god . <repeated> well go ahead . <repeated> but then i will just know if i am ever looking for an easy debate victory i will just try to find you . at the very best all you are doing is showing that the idea that god created all things perfectly probably is not true . <repeated> and even then someone can just point out that apparent flaws we see are simply the ineffable will of god .	0
so they are failing because they are <allcaps> x <elongated> </allcaps> ?	1
and yet i alread showed what the " moral code " of atheistic societies has done for the world : ii 128,168 , 000 <allcaps> victims </allcaps> : <allcaps> the deka </allcaps> - <allcaps> megamurderers </allcaps> 4 . 61,911 , 000 murdered : the soviet gulag state 5 . 35,236 , 000 murdered : the communist chinese ant hill 6 . 20,946 , 000 murdered : the nazi genocide state 7 . 10,214 , 000 murdered : the depraved nationalist regime <allcaps> i <elongated> </allcaps> 19,178 , 000 <allcaps> victims </allcaps> : <allcaps> the lesser mega </allcaps> - <allcaps> murderers </allcaps> 8 . 5,964 , 000 murdered : japan ' s savage military 9 . 2,035 , 000 murdered : the khmer rouge hell state 10 . 1,883 , 000 murdered : turkey ' s genocidal purges 11 . 1,670 , 000 murdered : the vietnamese war state 12 . 1,585 , 000 murdered : poland ' s ethnic cleansing 13 . 1,503 , 000 murdered : the pakistani cutthroat state 14 . 1,072 , 000 murdered : tito ' s slaughterhouse iv 4,145 , 000 <allcaps> victims </allcaps> : <allcaps> suspected megamurderers </allcaps> 15 . 1,663 , 000 murdered ? orwellian north korea 16 . 1,417 , 000 murdered ? barbarous mexico 17 . 1,066 , 000 murdered ? feudal russia	0
wow , make up your mind . either populations change over time ( evolve ) or they do not . would your wingless beetles be able to produce wings again if they were somehow beneficial again ? you are starting to sound like darwin and his finches .	1
over the internet that can be a particularly difficult call . <repeated>	1
